gap,recommender,accuracy_mean,precision_mean,recall_mean,f1_mean,overlap_mean
1,multidimensional_interestingness,0.0,0.0,0.0,0.0,0.0
2,multidimensional_interestingness,0.0,0.0,0.0,0.0,0.0
3,multidimensional_interestingness,0.0,0.0,0.0,0.0,0.0
5,multidimensional_interestingness,0.0,0.0,0.0,0.0,0.0
10,multidimensional_interestingness,0.0,0.0,0.0,0.0,0.0
1,random,0.13392857142857142,0.1875,0.13392857142857142,0.140625,0.1875
2,random,0.0729483282674772,0.1276595744680851,0.0729483282674772,0.0797872340425532,0.1276595744680851
3,random,0.03105590062111801,0.08695652173913043,0.03105590062111801,0.03804347826086957,0.08695652173913043
5,random,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.022727272727272728
10,random,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564
1,clustering,0.13392857142857142,0.1875,0.13392857142857142,0.140625,0.1875
2,clustering,0.0729483282674772,0.1276595744680851,0.0729483282674772,0.0797872340425532,0.1276595744680851
3,clustering,0.03105590062111801,0.08695652173913043,0.03105590062111801,0.03804347826086957,0.08695652173913043
5,clustering,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.022727272727272728
10,clustering,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564
1,frequency,0.13392857142857142,0.1875,0.13392857142857142,0.140625,0.1875
2,frequency,0.0729483282674772,0.1276595744680851,0.0729483282674772,0.0797872340425532,0.1276595744680851
3,frequency,0.03105590062111801,0.08695652173913043,0.03105590062111801,0.03804347826086957,0.08695652173913043
5,frequency,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.022727272727272728
10,frequency,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564
1,similarity,0.0,0.0,0.0,0.0,0.0
2,similarity,0.0,0.0,0.0,0.0,0.0
3,similarity,0.0,0.0,0.0,0.0,0.0
5,similarity,0.0,0.0,0.0,0.0,0.0
10,similarity,0.0,0.0,0.0,0.0,0.0
1,sampling,0.13392857142857142,0.1875,0.13392857142857142,0.140625,0.1875
2,sampling,0.0729483282674772,0.1276595744680851,0.0729483282674772,0.0797872340425532,0.1276595744680851
3,sampling,0.03105590062111801,0.08695652173913043,0.03105590062111801,0.03804347826086957,0.08695652173913043
5,sampling,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.022727272727272728
10,sampling,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564
