gap,recommender,accuracy_mean,precision_mean,recall_mean,f1_mean,overlap_mean
1,multidimensional_interestingness,0.0349643548429222,0.03534054541356773,0.0349643548429222,0.035099543884227466,0.03534054541356773
2,multidimensional_interestingness,0.04479925228897078,0.08122769721923857,0.04479925228897078,0.052765215305219854,0.08122769721923857
3,multidimensional_interestingness,0.008536080027151456,0.00913406225718987,0.008536080027151456,0.008814957011196278,0.00913406225718987
5,multidimensional_interestingness,0.002203703703703704,0.0024705198472014613,0.002203703703703704,0.002329496515543027,0.0024705198472014613
10,multidimensional_interestingness,0.0,0.0,0.0,0.0,0.0
1,random,0.1006655239923672,0.11800942118589176,0.1006655239923672,0.10106583344965496,0.11800942118589176
2,random,0.10246718386941217,0.15209171347871622,0.10246718386941217,0.1138555909428487,0.15209171347871622
3,random,0.020220230163877004,0.10223155731248071,0.020220230163877004,0.026296530438256138,0.10223155731248071
5,random,0.02085327648775792,0.05810729697520666,0.02085327648775792,0.022576682659065334,0.05810729697520666
10,random,0.00015681265681265682,0.00015681265681265682,0.00015681265681265682,0.00015681265681265682,0.00015681265681265682
1,clustering,0.10070000675098788,0.11804390394451245,0.10070000675098788,0.10110031620827564,0.11804390394451245
2,clustering,0.09583341193958762,0.14545794154889166,0.09583341193958762,0.10722181901302413,0.14545794154889166
3,clustering,0.020379668939387214,0.10239099608799092,0.020379668939387214,0.02645596921376634,0.10239099608799092
5,clustering,0.02085327648775792,0.05810729697520666,0.02085327648775792,0.022576682659065334,0.05810729697520666
10,clustering,4.0857183714326573e-05,4.0857183714326573e-05,4.0857183714326573e-05,4.0857183714326573e-05,4.0857183714326573e-05
1,frequency,0.10088149495425468,0.11822539214777926,0.10088149495425468,0.10128180441154243,0.11822539214777926
2,frequency,0.1122298031368791,0.16185433274618313,0.1122298031368791,0.1236182102103156,0.16185433274618313
3,frequency,0.021017424041428028,0.10302875119003173,0.021017424041428028,0.027093724315807154,0.10302875119003173
5,frequency,0.02085327648775792,0.05810729697520666,0.02085327648775792,0.022576682659065334,0.05810729697520666
10,frequency,4.0857183714326573e-05,4.0857183714326573e-05,4.0857183714326573e-05,4.0857183714326573e-05,4.0857183714326573e-05
1,similarity,0.052387222356533814,0.052763412927179336,0.052387222356533814,0.05252241139783908,0.052763412927179336
2,similarity,0.08299563475797388,0.13146911765629613,0.08299563475797388,0.0938359818347814,0.13146911765629613
3,similarity,0.022151323394380102,0.06873954918880462,0.022151323394380102,0.027799320426950668,0.06873954918880462
5,similarity,0.02085327648775792,0.05810729697520666,0.02085327648775792,0.022576682659065334,0.05810729697520666
10,similarity,0.0,0.0,0.0,0.0,0.0
1,sampling,0.1006655239923672,0.11800942118589176,0.1006655239923672,0.10106583344965496,0.11800942118589176
2,sampling,0.11253662831385662,0.1621611579231607,0.11253662831385662,0.12392503538729312,0.1621611579231607
3,sampling,0.01926359751081578,0.10127492465941948,0.01926359751081578,0.02533989778519491,0.10127492465941948
5,sampling,0.02085327648775792,0.05810729697520666,0.02085327648775792,0.022576682659065334,0.05810729697520666
10,sampling,0.00015681265681265682,0.00015681265681265682,0.00015681265681265682,0.00015681265681265682,0.00015681265681265682
