gap,recommender,accuracy_mean,precision_mean,recall_mean,f1_mean,overlap_mean
1,multidimensional_interestingness,0.48647259139782667,0.5036222115406073,0.48647259139782667,0.4934946952457302,0.5161645973143186
2,multidimensional_interestingness,0.3803717770202117,0.42420116461384494,0.3803717770202117,0.39745355875494653,0.4477479440156456
3,multidimensional_interestingness,0.23985345034685393,0.2885229879936165,0.23985345034685393,0.2576867755130786,0.3016764238361909
5,multidimensional_interestingness,0.12589789718640615,0.14917403546854252,0.12589789718640615,0.13509026410390101,0.14917403546854252
10,multidimensional_interestingness,0.06497876165254257,0.08043242483928248,0.06497876165254257,0.07074863833363541,0.08043242483928248
1,random,0.5122620461439165,0.5777823999997774,0.5122620461439165,0.5198584308553101,0.5996310945404616
2,random,0.40511148290255383,0.49705031820058604,0.40511148290255383,0.42336582034308634,0.5263437277360605
3,random,0.3901792018166424,0.48791913933571684,0.3901792018166424,0.41102785643489,0.511940545710595
5,random,0.2967057291919709,0.38683323694695787,0.2967057291919709,0.31543454176303937,0.41680108923621917
10,random,0.2050403360059532,0.2659899123275198,0.2050403360059532,0.22273643379615757,0.2894778087416419
1,clustering,0.5136054358819581,0.5791203630760815,0.5136054358819581,0.5211993418251453,0.5951655541166293
2,clustering,0.40508754838144995,0.4971060264644108,0.40508754838144995,0.42337044552698566,0.5147396160607198
3,clustering,0.3890818680312196,0.4868007960028287,0.3890818680312196,0.40992067722984427,0.5112188676638733
5,clustering,0.29596337908569753,0.3861566215027723,0.29596337908569753,0.31471878192328495,0.4103646553847223
10,clustering,0.19569929209167478,0.25664059047014465,0.19569929209167478,0.21339148253160958,0.27704499975622454
1,frequency,0.5139158262755504,0.5794571821461094,0.5139158262755504,0.5215217745535659,0.5974023894072572
2,frequency,0.4117491460173536,0.5037284489837399,0.4117491460173536,0.4300161711082918,0.5290695349139113
3,frequency,0.3905752776043566,0.48829832966189884,0.3905752776043566,0.4114170671993761,0.5110481112546359
5,frequency,0.294511700797095,0.38466749276257856,0.294511700797095,0.3132506921581527,0.40896496996000997
10,frequency,0.19838009976540924,0.25921512721098766,0.19838009976540924,0.2160296673820419,0.2770125062714354
1,similarity,0.5087581476777542,0.5742238121368882,0.5087581476777542,0.516329533803361,0.5912699550351431
2,similarity,0.4034043166663612,0.4954409479054999,0.4034043166663612,0.4216982633994653,0.5225386069188372
3,similarity,0.385637823729377,0.4833559664556257,0.385637823729377,0.40647717841091996,0.5211042321896848
5,similarity,0.2937722658900472,0.3839673442014641,0.2937722658900472,0.31252855063834595,0.40096197356337987
10,similarity,0.19598437596048318,0.2569914430019837,0.19598437596048318,0.21370267448775193,0.2929819456100988
1,sampling,0.5065927015154124,0.5721230631360457,0.5065927015154124,0.514193621955774,0.5811586520297932
2,sampling,0.399619029456324,0.49158532967031804,0.399619029456324,0.4178805942642578,0.5167322160456621
3,sampling,0.3904871922461831,0.48820862158004724,0.3904871922461831,0.4113281787580008,0.5155470733696458
5,sampling,0.28766009772848494,0.37783044521511533,0.28766009772848494,0.30640614658083654,0.3962138768170457
10,sampling,0.18964049563284557,0.25048715482485623,0.18964049563284557,0.20729378436799978,0.267996128912538
