gap,accuracy_mean,accuracy_std,accuracy_count,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std
1,0.15378959965837882,0.3237322962648375,3996,0.1780329426698314,0.34956581033131856,0.15378959965837882,0.3237322962648375,0.1570983690746555,0.3260543030673898
2,0.1589622456500711,0.32602922719241473,3162,0.18875617355488492,0.3583474877715359,0.1589622456500711,0.32602922719241473,0.16445961871080073,0.33143093467298357
3,0.10422259027203203,0.25820074043094515,3120,0.1441388728459389,0.3179425717955349,0.10422259027203203,0.25820074043094515,0.11063297541048818,0.26561648810600963
5,0.09024797007189507,0.24968737049430476,3036,0.11848405896589193,0.2913881105045717,0.09024797007189507,0.24968737049430476,0.09392425078041527,0.25485093369501594
10,0.0836202985260913,0.25199724192175643,2826,0.09152251990421258,0.2656566207124264,0.0836202985260913,0.25199724192175643,0.08597425491773307,0.25641899166518783
