gap,accuracy_mean,accuracy_std,accuracy_count,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std
1,0.02701250794776965,0.15154172374160718,3996,0.030752906096393123,0.16473042468016713,0.02701250794776965,0.15154172374160718,0.027685091581598074,0.15426386998266486
2,0.05151563718004759,0.18205883928380662,3162,0.06433375360778415,0.21636750767646676,0.05151563718004759,0.18205883928380662,0.05478632424224757,0.1895223409760829
3,0.04066522922361415,0.1705910086140067,3120,0.05221412528178818,0.19987487614687727,0.04066522922361415,0.1705910086140067,0.04232861979062638,0.17411223401485057
5,0.026389709167233617,0.13774792881968922,3036,0.03600124092391415,0.16943211391059307,0.026389709167233617,0.13774792881968922,0.02813217670675688,0.143930266441435
10,0.02217553707745364,0.11940601484111113,2826,0.026444040067708032,0.1363770405842292,0.02217553707745364,0.11940601484111113,0.023646537997438294,0.1257275407558347
