gap,accuracy_mean,accuracy_std,accuracy_count,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std
1,0.2913784958427816,0.3294901535485829,84,0.30090230536659107,0.3420403146650135,0.2913784958427816,0.3294901535485829,0.2957075001717859,0.3348114632615803
2,0.15523711613334254,0.23700279422364315,78,0.30413614163614167,0.3775310049915302,0.15523711613334254,0.23700279422364315,0.15981290742526696,0.23502062339105875
3,0.05629835529599679,0.10864803767648921,72,0.21350859788359788,0.3703058945624007,0.05629835529599679,0.10864803767648921,0.0645150391074304,0.11158271298706413
5,0.010126984126984125,0.044625852917989504,60,0.10555555555555556,0.3037224589618629,0.010126984126984125,0.044625852917989504,0.014298724954462655,0.04952481070977436
10,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,0.0
