gap,recommender,accuracy_mean,precision_mean,recall_mean,f1_mean,overlap_mean
1,multidimensional_interestingness,0.03451727589658624,0.03455871183351055,0.03451727589658624,0.03453022284453094,0.034482758620689655
2,multidimensional_interestingness,0.04483437513111117,0.0813049829445651,0.04483437513111117,0.052813512234742566,0.08122769721923857
3,multidimensional_interestingness,0.00857183006290149,0.009216346712822343,0.00857183006290149,0.008864870665820942,0.009098347971475585
5,multidimensional_interestingness,0.002203703703703704,0.0024705198472014613,0.002203703703703704,0.002329496515543027,0.0024705198472014613
10,multidimensional_interestingness,0.0,0.0,0.0,0.0,0.0
1,random,0.10021844504603124,0.1172275876058346,0.10021844504603124,0.10049651240995842,0.11715163439301371
2,random,0.10250230671155257,0.15216899920404275,0.10250230671155257,0.1139038878723714,0.15209171347871622
3,random,0.020177314372062532,0.1018985593760866,0.020177314372062532,0.026214168960605664,0.10219584302676643
5,random,0.020764458653136728,0.05771743342744838,0.020764458653136728,0.022432006733139408,0.05771743342744838
10,random,4.0857183714326573e-05,4.0857183714326573e-05,4.0857183714326573e-05,4.0857183714326573e-05,4.0857183714326573e-05
1,clustering,0.10021844504603124,0.1172275876058346,0.10021844504603124,0.10049651240995842,0.11715163439301371
2,clustering,0.09586853478172801,0.1455352272742182,0.09586853478172801,0.10727011594254683,0.14545794154889166
3,clustering,0.02033675314757274,0.1020579981515968,0.02033675314757274,0.026373607736115873,0.10235528180227663
5,clustering,0.020764458653136728,0.05771743342744838,0.020764458653136728,0.022432006733139408,0.05771743342744838
10,clustering,4.0857183714326573e-05,4.0857183714326573e-05,4.0857183714326573e-05,4.0857183714326573e-05,4.0857183714326573e-05
1,frequency,0.10021844504603124,0.1172275876058346,0.10021844504603124,0.10049651240995842,0.11715163439301371
2,frequency,0.11189558156535374,0.16156227405784393,0.11189558156535374,0.12329716272617257,0.16148498833251743
3,frequency,0.020974508249613555,0.10269575325363763,0.020974508249613555,0.027011362838156687,0.10299303690431745
5,frequency,0.020764458653136728,0.05771743342744838,0.020764458653136728,0.022432006733139408,0.05771743342744838
10,frequency,4.0857183714326573e-05,4.0857183714326573e-05,4.0857183714326573e-05,4.0857183714326573e-05,4.0857183714326573e-05
1,similarity,0.05175865520693107,0.05180009114385538,0.05175865520693107,0.051771602154875765,0.05172413793103448
2,similarity,0.08119942488235493,0.12971507066386334,0.08119942488235493,0.09205294604654479,0.12963778493853684
3,similarity,0.021920437677753597,0.06821858132759849,0.021920437677753597,0.02752898902448817,0.0685158649782783
5,similarity,0.020764458653136728,0.05771743342744838,0.020764458653136728,0.022432006733139408,0.05771743342744838
10,similarity,0.0,0.0,0.0,0.0,0.0
1,sampling,0.10021844504603124,0.1172275876058346,0.10021844504603124,0.10049651240995842,0.11715163439301371
2,sampling,0.11257175115599702,0.16223844364848722,0.11257175115599702,0.12397333231681583,0.1621611579231607
3,sampling,0.01922068171900131,0.10094192672302538,0.01922068171900131,0.025257536307544442,0.1012392103737052
5,sampling,0.020764458653136728,0.05771743342744838,0.020764458653136728,0.022432006733139408,0.05771743342744838
10,sampling,4.0857183714326573e-05,4.0857183714326573e-05,4.0857183714326573e-05,4.0857183714326573e-05,4.0857183714326573e-05
