gap,accuracy_mean,accuracy_std,accuracy_count,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std
1,0.026775859283647317,0.1515448628554509,3996,0.030295221920320886,0.16474557429330475,0.026775859283647317,0.1515448628554509,0.02741917297602791,0.1542703298534479
2,0.05142720286343824,0.1820718980477541,3162,0.0634371318527112,0.21627294366106964,0.05142720286343824,0.1820718980477541,0.05468278897909007,0.18954028253306363
3,0.040598695357782065,0.17059407493026296,3120,0.05155313888294974,0.19963336746246269,0.040598695357782065,0.17059407493026296,0.04224137346047382,0.1741064200466066
5,0.026353273419497402,0.1377531612281864,3036,0.03528871319914884,0.1691895768289708,0.026353273419497402,0.1377531612281864,0.028081603746118296,0.14393798004635597
10,0.022159110128535314,0.11940875560689729,2826,0.025865001272108723,0.1361268625285631,0.022159110128535314,0.11940875560689729,0.023618248044910216,0.12573199265813015
