gap,recommender,accuracy_mean,precision_mean,recall_mean,f1_mean,overlap_mean
1,multidimensional_interestingness,0.026563344796372613,0.05034720017563896,0.026563344796372613,0.03366051454350029,0.05034720017563896
2,multidimensional_interestingness,0.4248628368779103,0.5186286904538171,0.4248628368779103,0.44729176507498897,0.5186286904538171
3,multidimensional_interestingness,0.01093719806763285,0.03857265113075887,0.01093719806763285,0.016375977623256106,0.03857265113075887
5,multidimensional_interestingness,0.016780797101449276,0.05082718074924802,0.016780797101449276,0.024995326691737593,0.05082718074924802
10,multidimensional_interestingness,0.38488848222119043,0.39208199876814864,0.38488848222119043,0.38838599769025867,0.39208199876814864
1,random,0.03145512379770164,0.10512980887129113,0.03145512379770164,0.038660988162899736,0.10512980887129113
2,random,0.40288099132281097,0.4966468448987176,0.40288099132281097,0.42530991951988956,0.4966468448987176
3,random,0.011100233853349333,0.09577559205795609,0.011100233853349333,0.01689480565205599,0.09577559205795609
5,random,0.01607404458598726,0.11242138364779874,0.01607404458598726,0.024486354987113712,0.11242138364779874
10,random,0.4194795017216966,0.4266730182686549,0.4194795017216966,0.4229770171907648,0.4266730182686549
1,clustering,0.0289210232009412,0.10259570827453068,0.0289210232009412,0.03612688756613929,0.10259570827453068
2,clustering,0.39574818996020733,0.4895140435361141,0.39574818996020733,0.418177118157286,0.4895140435361141
3,clustering,0.011100233853349333,0.09577559205795609,0.011100233853349333,0.01689480565205599,0.09577559205795609
5,clustering,0.01607404458598726,0.11242138364779874,0.01607404458598726,0.024486354987113712,0.11242138364779874
10,clustering,0.41290838954267817,0.42010190608963643,0.41290838954267817,0.4164059050117464,0.42010190608963643
1,frequency,0.02810580580963685,0.10178049088322634,0.02810580580963685,0.03531167017483495,0.10178049088322634
2,frequency,0.41620474454332945,0.5099705981192363,0.41620474454332945,0.43863367274040815,0.5099705981192363
3,frequency,0.011402166220499091,0.09607752442510585,0.011402166220499091,0.017196738019205748,0.09607752442510585
5,frequency,0.017885638788885813,0.1142329778506973,0.017885638788885813,0.026297949190012264,0.1142329778506973
10,frequency,0.42366175170950854,0.4308552682564668,0.42366175170950854,0.4271592671785767,0.4308552682564668
1,similarity,0.027106823057242175,0.05089067843650852,0.027106823057242175,0.03420399280436985,0.05089067843650852
2,similarity,0.4293164918170845,0.5230823453929914,0.4293164918170845,0.4517454200141631,0.5230823453929914
3,similarity,0.01129105510938798,0.04052196886955029,0.01129105510938798,0.01697495935431331,0.04052196886955029
5,similarity,0.015875,0.049921383647798745,0.015875,0.024089529590288317,0.049921383647798745
10,similarity,0.4315413507608463,0.4387348673078046,0.4315413507608463,0.43503886622991456,0.4387348673078046
1,sampling,0.02794063104407845,0.10161531611766794,0.02794063104407845,0.03514649540927654,0.10161531611766794
2,sampling,0.37816416554552124,0.47193001912142796,0.37816416554552124,0.4005930937425999,0.47193001912142796
3,sampling,0.015105869924202795,0.09978122812880956,0.015105869924202795,0.02090044172290945,0.09978122812880956
5,sampling,0.016979841687436537,0.11332718074924802,0.016979841687436537,0.025392152088562988,0.11332718074924802
10,sampling,0.41555699082310177,0.42275050737006004,0.41555699082310177,0.41905450629217,0.42275050737006004
