gap,recommender,accuracy_mean,precision_mean,recall_mean,f1_mean,overlap_mean
1,multidimensional_interestingness,0.07603753783403833,0.08500171500236946,0.07603753783403833,0.07985694792025001,0.08500171500236946
2,multidimensional_interestingness,0.14087523576872693,0.16591547408680601,0.14087523576872693,0.15002893724911348,0.16591547408680601
3,multidimensional_interestingness,0.14803034166180215,0.16184225182726153,0.14803034166180215,0.15379276077640877,0.16184225182726153
5,multidimensional_interestingness,0.06970569663392558,0.0880373296468084,0.06970569663392558,0.07705059294773194,0.0880373296468084
10,multidimensional_interestingness,0.03241925131999321,0.04730484768183569,0.03241925131999321,0.03791367429425979,0.04730484768183569
1,random,0.07273538712015316,0.0816995642884843,0.07273538712015316,0.07655479720636485,0.0816995642884843
2,random,0.14889444882220176,0.17393468714028085,0.14889444882220176,0.1580481503025883,0.17393468714028085
3,random,0.24256936485977168,0.2587372668723892,0.24256936485977168,0.24927821499256672,0.2587372668723892
5,random,0.13498526849091633,0.15915153325037706,0.13498526849091633,0.14475270406088653,0.15915153325037706
10,random,0.07664076176602053,0.1039608433410436,0.07664076176602053,0.08733790059758229,0.1039608433410436
1,clustering,0.07217036044831028,0.08113453761664143,0.07217036044831028,0.07598977053452198,0.08113453761664143
2,clustering,0.1461161130314372,0.17115635134951626,0.1461161130314372,0.15526981451182373,0.17115635134951626
3,clustering,0.2425192055831152,0.25868710759573277,0.2425192055831152,0.24922805571591022,0.25868710759573277
5,clustering,0.13509720352838392,0.15926346828784466,0.13509720352838392,0.14486463909835412,0.15926346828784466
10,clustering,0.07579083996518272,0.10311092154020579,0.07579083996518272,0.0864879787967445,0.10311092154020579
1,frequency,0.0723890540312518,0.08135323119958293,0.0723890540312518,0.07620846411746349,0.08135323119958293
2,frequency,0.14852588527058094,0.17356612358866003,0.14852588527058094,0.15767958675096747,0.17356612358866003
3,frequency,0.24317006646479639,0.2593379684774139,0.24317006646479639,0.24987891659759143,0.2593379684774139
5,frequency,0.13401434348602928,0.15818060824549002,0.13401434348602928,0.14378177905599945,0.15818060824549002
10,frequency,0.07557565228477614,0.1028957338597992,0.07557565228477614,0.08627279111633791,0.1028957338597992
1,similarity,0.06960099266444567,0.0785651698327768,0.06960099266444567,0.07342040275065735,0.0785651698327768
2,similarity,0.14717960616157083,0.17221984447964991,0.14717960616157083,0.15633330764195738,0.17221984447964991
3,similarity,0.24113309807675437,0.25730100008937196,0.24113309807675437,0.2478419482095494,0.25730100008937196
5,similarity,0.13514244220469904,0.1593087069641598,0.13514244220469904,0.14490987777466927,0.1593087069641598
10,similarity,0.07547058486809122,0.10279066644311427,0.07547058486809122,0.08616772369965298,0.10279066644311427
1,sampling,0.07290854388732451,0.08187272105565564,0.07290854388732451,0.0767279539735362,0.08187272105565564
2,sampling,0.14600131977022385,0.1710415580883029,0.14600131977022385,0.1551550212506104,0.1710415580883029
3,sampling,0.24340866449706636,0.2595765665096838,0.24340866449706636,0.25011751462986137,0.2595765665096838
5,sampling,0.13396202328624326,0.15812828804570403,0.13396202328624326,0.14372945885621344,0.15812828804570403
10,sampling,0.0769095170787172,0.10422959865374026,0.0769095170787172,0.08760665591027897,0.10422959865374026
