gap,accuracy_mean,accuracy_std,accuracy_count,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std
1,0.2442507558578987,0.32449711250066915,84,0.25218726379440665,0.33629061420460443,0.2442507558578987,0.32449711250066915,0.24785825946540235,0.3295313785208836
2,0.13203774736793603,0.23161503941542247,78,0.2561202686202686,0.3668282521278044,0.13203774736793603,0.23161503941542247,0.13585090677787307,0.23032152149739707
3,0.040568845462713374,0.09093005815833904,72,0.17157738095238095,0.3469348172582056,0.040568845462713374,0.09093005815833904,0.047416081972241376,0.0950516378194816
5,0.0038095238095238087,0.01274138545304238,60,0.08333333333333333,0.27871780678530217,0.0038095238095238087,0.01274138545304238,0.007285974499089251,0.024368769992157556
10,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,0.0
